customerId,totalAmount12m,salesGrowthPct,revenue_2025_07,revenue_2025_08,revenue_2025_09,revenue_2025_10,revenue_2025_11,revenue_2025_12,revenue_2026_01,revenue_2026_02,revenue_2026_03,revenue_2026_04,revenue_2026_05,revenue_2026_06
CUST00001,220000,-100.0,24000,32000,30000,26000,24000,22000,21000,24000,17000,0,0,0
CUST00002,570000,-30.9,43000,45000,54000,54000,61000,56000,44000,54000,54000,52000,53000,0
CUST00003,89000,0.0,16000,18000,20000,21000,14000,0,0,0,0,0,0,0
CUST00004,641000,-33.1,63000,65000,47000,69000,55000,50000,52000,58000,65000,48000,69000,0
CUST00005,3161000,9.7,207000,286000,227000,235000,239000,277000,232000,326000,248000,306000,258000,320000
CUST00006,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
CUST00007,71000,-100.0,12000,12000,11000,10000,6000,7000,7000,6000,0,0,0,0
CUST00008,22000,-100.0,3000,3000,3000,3000,2000,2000,2000,2000,2000,0,0,0
CUST00009,1885000,17.8,109000,118000,154000,138000,97000,156000,127000,193000,191000,178000,205000,219000
CUST00010,1748000,-17.7,136000,113000,135000,166000,138000,176000,139000,190000,156000,190000,209000,0
CUST00011,262000,18.9,27000,20000,30000,21000,23000,25000,22000,17000,14000,19000,19000,25000
CUST00012,90000,-66.7,14000,10000,10000,11000,10000,7000,7000,9000,5000,7000,0,0
CUST00013,399000,-58.7,33000,44000,34000,47000,32000,31000,37000,37000,52000,52000,0,0
CUST00014,65000,0.0,15000,14000,13000,14000,9000,0,0,0,0,0,0,0
CUST00015,813000,-27.6,75000,54000,50000,85000,79000,82000,67000,83000,75000,72000,91000,0
CUST00016,642000,-37.0,60000,61000,58000,59000,65000,57000,47000,68000,58000,61000,48000,0
CUST00017,1094000,-13.8,75000,107000,103000,91000,93000,87000,101000,94000,94000,70000,105000,74000
CUST00018,7929000,3.2,448000,576000,753000,663000,422000,604000,667000,759000,770000,585000,921000,761000
CUST00019,122000,-67.6,16000,11000,14000,11000,12000,13000,10000,11000,13000,11000,0,0
CUST00020,222000,-100.0,26000,24000,18000,29000,23000,28000,28000,21000,25000,0,0,0
CUST00021,65000,-70.6,9000,6000,7000,8000,7000,6000,6000,7000,4000,5000,0,0
CUST00022,289000,-100.0,33000,38000,29000,45000,26000,28000,30000,33000,27000,0,0,0
CUST00023,15000,-100.0,2000,2000,2000,2000,2000,2000,2000,1000,0,0,0,0
CUST00024,372000,-100.0,44000,41000,48000,36000,46000,41000,27000,39000,50000,0,0,0
CUST00025,5000,0.0,1000,1000,1000,1000,1000,0,0,0,0,0,0,0
CUST00026,1004000,-0.8,57000,93000,88000,78000,86000,86000,82000,92000,85000,81000,93000,83000
CUST00027,293000,-66.3,24000,35000,25000,25000,27000,30000,36000,32000,27000,32000,0,0
CUST00028,2865000,17.5,200000,173000,185000,249000,219000,208000,226000,286000,238000,252000,358000,271000
CUST00029,627000,-24.6,51000,50000,45000,73000,50000,58000,59000,53000,59000,55000,74000,0
CUST00030,549000,-51.0,39000,39000,48000,69000,57000,63000,53000,56000,48000,77000,0,0
CUST00031,12000,0.0,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0
CUST00032,20000,-80.0,3000,2000,3000,2000,2000,2000,2000,1000,2000,1000,0,0
CUST00033,451000,-33.6,45000,46000,36000,38000,45000,58000,32000,36000,42000,36000,37000,0
CUST00034,517000,-33.8,38000,48000,37000,39000,41000,48000,67000,50000,43000,63000,43000,0
CUST00035,199000,-20.4,16000,14000,20000,16000,17000,19000,15000,20000,19000,24000,19000,0
CUST00036,500000,-38.9,46000,47000,37000,41000,37000,39000,51000,39000,67000,51000,45000,0
CUST00037,6503000,7.1,321000,439000,332000,359000,508000,485000,585000,618000,757000,647000,648000,804000
CUST00038,344000,-40.4,31000,30000,34000,25000,32000,34000,31000,39000,29000,27000,32000,0
CUST00039,750000,-22.6,63000,54000,58000,57000,78000,64000,76000,69000,67000,84000,80000,0
CUST00040,662000,-31.1,52000,64000,49000,70000,60000,63000,73000,43000,64000,63000,61000,0
CUST00041,554000,-27.5,43000,50000,49000,56000,44000,55000,50000,48000,51000,64000,44000,0
CUST00042,35000,-100.0,6000,5000,6000,5000,4000,4000,5000,0,0,0,0,0
CUST00043,42000,0.0,9000,9000,7000,8000,9000,0,0,0,0,0,0,0
CUST00044,142000,-5.7,11000,13000,14000,12000,12000,12000,14000,10000,11000,14000,9000,10000
CUST00045,267000,-100.0,39000,49000,32000,31000,32000,40000,23000,21000,0,0,0,0
CUST00046,114000,0.0,17000,22000,23000,22000,30000,0,0,0,0,0,0,0
CUST00047,2144000,-25.9,170000,186000,162000,220000,196000,103000,194000,223000,219000,298000,173000,0
CUST00048,916000,4.4,87000,54000,64000,61000,62000,79000,70000,75000,104000,100000,68000,92000
CUST00049,191000,-36.5,24000,13000,16000,18000,18000,17000,18000,19000,15000,13000,20000,0
CUST00050,999000,14.3,65000,82000,85000,68000,94000,67000,83000,80000,88000,96000,98000,93000
CUST00051,1339000,-31.3,157000,99000,111000,90000,116000,108000,145000,87000,158000,135000,133000,0
CUST00052,3687000,10.9,231000,245000,218000,287000,427000,244000,269000,298000,398000,295000,416000,359000
