productId,name,brand,price
P00001,원피스 스타일 001,Atelier Blanc,106000
P00002,원피스 스타일 002,Common Days,124000
P00003,원피스 스타일 003,Nord Studio,102000
P00004,원피스 스타일 004,Nord Studio,92000
P00005,원피스 스타일 005,Common Days,84000
P00006,원피스 스타일 006,Urban Loom,115000
P00007,원피스 스타일 007,Studio 8,116000
P00008,원피스 스타일 008,Nord Studio,72000
P00009,원피스 스타일 009,Studio 8,125000
P00010,원피스 스타일 010,Nord Studio,80000
P00011,원피스 스타일 011,Common Days,113000
P00012,원피스 스타일 012,Common Days,126000
P00013,원피스 스타일 013,Petal & Co,105000
P00014,원피스 스타일 014,Petal & Co,61000
P00015,원피스 스타일 015,Common Days,95000
P00016,아우터 스타일 016,Maison Ivy,121000
P00017,아우터 스타일 017,Nord Studio,248000
P00018,아우터 스타일 018,Urban Loom,152000
P00019,아우터 스타일 019,Petal & Co,231000
P00020,아우터 스타일 020,Nine Stitch,271000
P00021,아우터 스타일 021,Nine Stitch,133000
P00022,아우터 스타일 022,Petal & Co,173000
P00023,아우터 스타일 023,Common Days,221000
P00024,아우터 스타일 024,Urban Loom,178000
P00025,아우터 스타일 025,Haus Mono,132000
P00026,아우터 스타일 026,Atelier Blanc,104000
P00027,아우터 스타일 027,Nine Stitch,176000
P00028,아우터 스타일 028,Common Days,222000
P00029,아우터 스타일 029,Common Days,208000
P00030,아우터 스타일 030,Atelier Blanc,128000
P00031,코트 스타일 031,Haus Mono,228000
P00032,코트 스타일 032,Nord Studio,210000
P00033,코트 스타일 033,Studio 8,189000
P00034,코트 스타일 034,Maison Ivy,289000
P00035,코트 스타일 035,Nord Studio,197000
P00036,코트 스타일 036,Common Days,247000
P00037,코트 스타일 037,Nine Stitch,332000
P00038,코트 스타일 038,Maison Ivy,247000
P00039,코트 스타일 039,Atelier Blanc,264000
P00040,코트 스타일 040,Nord Studio,145000
P00041,코트 스타일 041,Urban Loom,168000
P00042,코트 스타일 042,Common Days,151000
P00043,코트 스타일 043,Petal & Co,297000
P00044,코트 스타일 044,Le Chat,312000
P00045,코트 스타일 045,Common Days,170000
P00046,가디건 스타일 046,Nord Studio,76000
P00047,가디건 스타일 047,Maison Ivy,84000
P00048,가디건 스타일 048,Maison Ivy,106000
P00049,가디건 스타일 049,Nord Studio,108000
P00050,가디건 스타일 050,Studio 8,113000
P00051,가디건 스타일 051,Le Chat,131000
P00052,가디건 스타일 052,Common Days,82000
P00053,가디건 스타일 053,Le Chat,111000
P00054,가디건 스타일 054,Common Days,103000
P00055,가디건 스타일 055,Common Days,83000
P00056,가디건 스타일 056,Studio 8,131000
P00057,가디건 스타일 057,Urban Loom,66000
P00058,가디건 스타일 058,Haus Mono,115000
P00059,가디건 스타일 059,Atelier Blanc,117000
P00060,가디건 스타일 060,Le Chat,132000
P00061,니트 스타일 061,Common Days,85000
P00062,니트 스타일 062,Studio 8,71000
P00063,니트 스타일 063,Urban Loom,106000
P00064,니트 스타일 064,Nine Stitch,102000
P00065,니트 스타일 065,Urban Loom,84000
P00066,니트 스타일 066,Studio 8,102000
P00067,니트 스타일 067,Studio 8,67000
P00068,니트 스타일 068,Nine Stitch,90000
P00069,니트 스타일 069,Studio 8,109000
P00070,니트 스타일 070,Haus Mono,71000
P00071,니트 스타일 071,Le Chat,82000
P00072,니트 스타일 072,Petal & Co,115000
P00073,니트 스타일 073,Le Chat,104000
P00074,니트 스타일 074,Le Chat,111000
P00075,니트 스타일 075,Common Days,75000
P00076,청바지 스타일 076,Common Days,108000
P00077,청바지 스타일 077,Urban Loom,58000
P00078,청바지 스타일 078,Atelier Blanc,80000
P00079,청바지 스타일 079,Nine Stitch,77000
P00080,청바지 스타일 080,Le Chat,96000
P00081,청바지 스타일 081,Le Chat,103000
P00082,청바지 스타일 082,Urban Loom,92000
P00083,청바지 스타일 083,Petal & Co,86000
P00084,청바지 스타일 084,Atelier Blanc,74000
P00085,청바지 스타일 085,Nord Studio,79000
P00086,청바지 스타일 086,Nord Studio,79000
P00087,청바지 스타일 087,Studio 8,50000
P00088,청바지 스타일 088,Nord Studio,79000
P00089,청바지 스타일 089,Atelier Blanc,100000
P00090,청바지 스타일 090,Petal & Co,91000
P00091,신발 스타일 091,Nord Studio,146000
P00092,신발 스타일 092,Urban Loom,101000
P00093,신발 스타일 093,Atelier Blanc,117000
P00094,신발 스타일 094,Petal & Co,62000
P00095,신발 스타일 095,Atelier Blanc,101000
P00096,신발 스타일 096,Le Chat,111000
P00097,신발 스타일 097,Common Days,87000
P00098,신발 스타일 098,Atelier Blanc,62000
