상품ID_A,상품ID_B,동시조회_횟수,카테고리_A,카테고리_B
P00065,P00071,27,니트,니트
P00006,P00009,27,원피스,원피스
P00005,P00011,26,원피스,원피스
P00002,P00006,25,원피스,원피스
P00001,P00012,25,원피스,원피스
P00005,P00009,25,원피스,원피스
P00065,P00070,25,니트,니트
P00008,P00012,25,원피스,원피스
P00002,P00011,25,원피스,원피스
P00007,P00008,24,원피스,원피스
P00111,P00115,24,가방,가방
P00061,P00071,24,니트,니트
P00009,P00013,24,원피스,원피스
P00063,P00071,24,니트,니트
P00002,P00013,23,원피스,원피스
P00003,P00011,23,원피스,원피스
P00008,P00011,23,원피스,원피스
P00006,P00015,23,원피스,원피스
P00008,P00015,23,원피스,원피스
P00112,P00115,23,가방,가방
P00004,P00008,23,원피스,원피스
P00106,P00113,23,가방,가방
P00004,P00005,22,원피스,원피스
P00002,P00015,22,원피스,원피스
P00004,P00015,22,원피스,원피스
P00008,P00013,22,원피스,원피스
P00009,P00011,22,원피스,원피스
P00003,P00009,22,원피스,원피스
P00003,P00010,22,원피스,원피스
P00006,P00008,22,원피스,원피스
P00002,P00012,22,원피스,원피스
P00065,P00067,22,니트,니트
P00003,P00013,22,원피스,원피스
P00122,P00133,21,액세서리,액세서리
P00001,P00006,21,원피스,원피스
P00005,P00015,21,원피스,원피스
P00012,P00013,21,원피스,원피스
P00001,P00002,21,원피스,원피스
P00003,P00012,21,원피스,원피스
P00003,P00015,21,원피스,원피스
P00001,P00013,21,원피스,원피스
P00005,P00008,21,원피스,원피스
P00154,P00160,21,셔츠,셔츠
P00006,P00014,21,원피스,원피스
P00006,P00013,20,원피스,원피스
P00003,P00005,20,원피스,원피스
P00063,P00075,20,니트,니트
P00002,P00005,20,원피스,원피스
P00063,P00070,20,니트,니트
P00070,P00071,20,니트,니트
P00063,P00065,20,니트,니트
P00004,P00013,20,원피스,원피스
P00069,P00074,20,니트,니트
P00004,P00006,20,원피스,원피스
P00001,P00011,20,원피스,원피스
P00008,P00009,20,원피스,원피스
