productId,category
P00001,원피스
P00002,원피스
P00003,원피스
P00004,원피스
P00005,원피스
P00006,원피스
P00007,원피스
P00008,원피스
P00009,원피스
P00010,원피스
P00011,원피스
P00012,원피스
P00013,원피스
P00014,원피스
P00015,원피스
P00016,아우터
P00017,아우터
P00018,아우터
P00019,아우터
P00020,아우터
P00021,아우터
P00022,아우터
P00023,아우터
P00024,아우터
P00025,아우터
P00026,아우터
P00027,아우터
P00028,아우터
P00029,아우터
P00030,아우터
P00031,코트
P00032,코트
P00033,코트
P00034,코트
P00035,코트
P00036,코트
P00037,코트
P00038,코트
P00039,코트
P00040,코트
P00041,코트
P00042,코트
P00043,코트
P00044,코트
P00045,코트
P00046,가디건
P00047,가디건
P00048,가디건
P00049,가디건
P00050,가디건
P00051,가디건
P00052,가디건
P00053,가디건
P00054,가디건
P00055,가디건
P00056,가디건
P00057,가디건
P00058,가디건
P00059,가디건
P00060,가디건
P00061,니트
P00062,니트
P00063,니트
P00064,니트
P00065,니트
P00066,니트
P00067,니트
P00068,니트
P00069,니트
P00070,니트
P00071,니트
P00072,니트
P00073,니트
P00074,니트
P00075,니트
P00076,청바지
P00077,청바지
P00078,청바지
P00079,청바지
P00080,청바지
P00081,청바지
P00082,청바지
P00083,청바지
P00084,청바지
P00085,청바지
P00086,청바지
P00087,청바지
P00088,청바지
P00089,청바지
P00090,청바지
P00091,신발
P00092,신발
P00093,신발
P00094,신발
P00095,신발
P00096,신발
P00097,신발
P00098,신발
P00099,신발
P00100,신발
P00101,신발
P00102,신발
P00103,신발
P00104,신발
P00105,신발
P00106,가방
P00107,가방
P00108,가방
P00109,가방
P00110,가방
P00111,가방
P00112,가방
P00113,가방
P00114,가방
P00115,가방
P00116,가방
P00117,가방
P00118,가방
P00119,가방
P00120,가방
P00121,액세서리
P00122,액세서리
P00123,액세서리
P00124,액세서리
P00125,액세서리
P00126,액세서리
P00127,액세서리
P00128,액세서리
P00129,액세서리
P00130,액세서리
P00131,액세서리
P00132,액세서리
P00133,액세서리
P00134,액세서리
P00135,액세서리
P00136,스커트
P00137,스커트
P00138,스커트
P00139,스커트
P00140,스커트
P00141,스커트
P00142,스커트
P00143,스커트
P00144,스커트
P00145,스커트
P00146,스커트
P00147,스커트
P00148,스커트
P00149,스커트
P00150,스커트
P00151,셔츠
P00152,셔츠
P00153,셔츠
P00154,셔츠
P00155,셔츠
P00156,셔츠
P00157,셔츠
P00158,셔츠
P00159,셔츠
P00160,셔츠
P00161,셔츠
P00162,셔츠
P00163,셔츠
P00164,셔츠
P00165,셔츠
P00166,스포츠웨어
P00167,스포츠웨어
P00168,스포츠웨어
P00169,스포츠웨어
P00170,스포츠웨어
P00171,스포츠웨어
P00172,스포츠웨어
P00173,스포츠웨어
P00174,스포츠웨어
P00175,스포츠웨어
P00176,스포츠웨어
P00177,스포츠웨어
P00178,스포츠웨어
P00179,스포츠웨어
P00180,스포츠웨어
