categoryA,categoryB,count
원피스,코트,18
원피스,청바지,34
아우터,원피스,8
아우터,코트,2
아우터,청바지,11
아우터,액세서리,7
가디건,원피스,48
가디건,코트,12
가디건,니트,33
가디건,청바지,2
가디건,신발,8
가디건,가방,9
가디건,액세서리,36
가디건,스커트,34
가디건,셔츠,5
니트,원피스,31
니트,아우터,12
니트,코트,22
니트,청바지,62
니트,신발,19
니트,액세서리,66
니트,스커트,59
니트,셔츠,25
니트,스포츠웨어,2
청바지,코트,5
신발,원피스,57
신발,아우터,4
신발,코트,3
신발,청바지,69
신발,액세서리,6
가방,원피스,98
가방,아우터,13
가방,코트,32
가방,니트,18
가방,청바지,68
가방,신발,28
가방,액세서리,16
가방,스커트,11
가방,셔츠,35
가방,스포츠웨어,12
액세서리,원피스,67
액세서리,코트,40
액세서리,청바지,22
스커트,원피스,31
스커트,아우터,4
스커트,코트,13
스커트,청바지,13
스커트,신발,26
스커트,액세서리,28
스커트,스포츠웨어,3
셔츠,원피스,24
셔츠,아우터,8
셔츠,코트,17
셔츠,청바지,59
셔츠,신발,13
셔츠,액세서리,19
셔츠,스커트,35
셔츠,스포츠웨어,5
스포츠웨어,원피스,6
스포츠웨어,코트,2
스포츠웨어,청바지,9
스포츠웨어,신발,28
