sessionId,exitEventType
SESS0000001,상품_상세조회
SESS0000002,상품_상세조회
SESS0000003,상품_상세조회
SESS0000004,결제페이지_진입
SESS0000005,찜하기
SESS0000006,상품_상세조회
SESS0000007,상품_상세조회
SESS0000008,상품_상세조회
SESS0000009,상품_상세조회
SESS0000010,상품_상세조회
SESS0000011,찜하기
SESS0000012,결제페이지_진입
SESS0000013,결제페이지_진입
SESS0000014,상품_상세조회
SESS0000015,카테고리_이동
SESS0000016,상품_상세조회
SESS0000017,상품_상세조회
SESS0000018,검색
SESS0000019,구매완료
SESS0000020,상품_상세조회
SESS0000021,찜하기
SESS0000022,찜하기
SESS0000023,구매완료
SESS0000024,상품_상세조회
SESS0000025,구매완료
SESS0000026,상품_상세조회
SESS0000027,검색
SESS0000028,구매완료
SESS0000029,결제페이지_진입
SESS0000030,상품_상세조회
SESS0000031,찜하기
SESS0000032,찜하기
SESS0000033,상품_상세조회
SESS0000034,상품_상세조회
SESS0000035,구매완료
SESS0000036,상품_상세조회
SESS0000037,상품_상세조회
SESS0000038,구매완료
SESS0000039,구매완료
SESS0000040,상품_상세조회
SESS0000041,구매완료
SESS0000042,구매완료
SESS0000043,상품_상세조회
SESS0000044,상품_상세조회
SESS0000045,결제페이지_진입
SESS0000046,찜하기
SESS0000047,카테고리_이동
SESS0000048,카테고리_이동
SESS0000049,구매완료
SESS0000050,상품_상세조회
SESS0000051,상품_상세조회
SESS0000052,상품_상세조회
SESS0000053,상품_상세조회
SESS0000054,찜하기
SESS0000055,검색
SESS0000056,구매완료
SESS0000057,카테고리_이동
SESS0000058,검색
SESS0000059,상품_상세조회
SESS0000060,구매완료
SESS0000061,구매완료
SESS0000062,찜하기
SESS0000063,카테고리_이동
SESS0000064,검색
SESS0000065,카테고리_이동
SESS0000066,카테고리_이동
SESS0000067,상품_상세조회
SESS0000068,상품_상세조회
SESS0000069,상품_상세조회
SESS0000070,상품_상세조회
SESS0000071,상품_상세조회
SESS0000072,구매완료
SESS0000073,구매완료
SESS0000074,구매완료
SESS0000075,결제페이지_진입
SESS0000076,상품_상세조회
SESS0000077,상품_상세조회
SESS0000078,상품_상세조회
SESS0000079,구매완료
SESS0000080,검색
SESS0000081,카테고리_이동
SESS0000082,상품_상세조회
SESS0000083,상품_상세조회
SESS0000084,상품_상세조회
SESS0000085,상품_상세조회
SESS0000086,찜하기
SESS0000087,구매완료
SESS0000088,구매완료
SESS0000089,상품_상세조회
SESS0000090,상품_상세조회
SESS0000091,상품_상세조회
SESS0000092,결제페이지_진입
SESS0000093,구매완료
SESS0000094,상품_상세조회
SESS0000095,검색
SESS0000096,구매완료
SESS0000097,상품_상세조회
SESS0000098,장바구니_이탈
SESS0000099,검색
SESS0000100,상품_상세조회
SESS0000101,구매완료
SESS0000102,검색
SESS0000103,구매완료
SESS0000104,상품_상세조회
SESS0000105,장바구니_이탈
SESS0000106,카테고리_이동
SESS0000107,구매완료
SESS0000108,상품_상세조회
SESS0000109,결제페이지_진입
SESS0000110,상품_상세조회
SESS0000111,상품_상세조회
SESS0000112,검색
SESS0000113,상품_상세조회
SESS0000114,상품_상세조회
SESS0000115,상품_상세조회
SESS0000116,결제페이지_진입
SESS0000117,구매완료
SESS0000118,구매완료
SESS0000119,상품_상세조회
SESS0000120,상품_상세조회
SESS0000121,결제페이지_진입
SESS0000122,찜하기
SESS0000123,구매완료
SESS0000124,구매완료
SESS0000125,상품_상세조회
