customerId,sessionId
CUST00003,SESS0000001
CUST00005,SESS0000002
CUST00005,SESS0000003
CUST00005,SESS0000004
CUST00009,SESS0000005
CUST00009,SESS0000006
CUST00009,SESS0000007
CUST00009,SESS0000008
CUST00009,SESS0000009
CUST00010,SESS0000010
CUST00010,SESS0000011
CUST00010,SESS0000012
CUST00010,SESS0000013
CUST00011,SESS0000014
CUST00013,SESS0000015
CUST00015,SESS0000016
CUST00016,SESS0000017
CUST00016,SESS0000018
CUST00017,SESS0000019
CUST00017,SESS0000020
CUST00018,SESS0000021
CUST00018,SESS0000022
CUST00018,SESS0000023
CUST00018,SESS0000024
CUST00018,SESS0000025
CUST00018,SESS0000026
CUST00018,SESS0000027
CUST00018,SESS0000028
CUST00018,SESS0000029
CUST00019,SESS0000030
CUST00019,SESS0000031
CUST00019,SESS0000032
CUST00021,SESS0000033
CUST00022,SESS0000034
CUST00024,SESS0000035
CUST00024,SESS0000036
CUST00026,SESS0000037
CUST00026,SESS0000038
CUST00026,SESS0000039
CUST00027,SESS0000040
CUST00027,SESS0000041
CUST00027,SESS0000042
CUST00028,SESS0000043
CUST00028,SESS0000044
CUST00029,SESS0000045
CUST00029,SESS0000046
CUST00029,SESS0000047
CUST00030,SESS0000048
CUST00030,SESS0000049
CUST00031,SESS0000050
CUST00031,SESS0000051
CUST00032,SESS0000052
CUST00032,SESS0000053
CUST00032,SESS0000054
CUST00033,SESS0000055
CUST00033,SESS0000056
CUST00034,SESS0000057
CUST00034,SESS0000058
CUST00034,SESS0000059
CUST00035,SESS0000060
CUST00035,SESS0000061
CUST00035,SESS0000062
CUST00036,SESS0000063
CUST00036,SESS0000064
CUST00037,SESS0000065
CUST00037,SESS0000066
CUST00037,SESS0000067
CUST00037,SESS0000068
CUST00037,SESS0000069
CUST00037,SESS0000070
CUST00037,SESS0000071
CUST00038,SESS0000072
CUST00038,SESS0000073
CUST00038,SESS0000074
CUST00038,SESS0000075
CUST00039,SESS0000076
CUST00039,SESS0000077
CUST00040,SESS0000078
CUST00040,SESS0000079
CUST00041,SESS0000080
CUST00041,SESS0000081
CUST00041,SESS0000082
CUST00041,SESS0000083
CUST00043,SESS0000084
CUST00044,SESS0000085
CUST00044,SESS0000086
CUST00044,SESS0000087
CUST00044,SESS0000088
CUST00045,SESS0000089
CUST00046,SESS0000090
CUST00046,SESS0000091
CUST00046,SESS0000092
CUST00047,SESS0000093
CUST00048,SESS0000094
CUST00048,SESS0000095
CUST00048,SESS0000096
CUST00048,SESS0000097
CUST00048,SESS0000098
