productIdA,productIdB,count
P00065,P00071,27
P00006,P00009,27
P00005,P00011,26
P00002,P00006,25
P00001,P00012,25
P00005,P00009,25
P00065,P00070,25
P00008,P00012,25
P00002,P00011,25
P00007,P00008,24
P00111,P00115,24
P00061,P00071,24
P00009,P00013,24
P00063,P00071,24
P00002,P00013,23
P00003,P00011,23
P00008,P00011,23
P00006,P00015,23
P00008,P00015,23
P00112,P00115,23
P00004,P00008,23
P00106,P00113,23
P00004,P00005,22
P00002,P00015,22
P00004,P00015,22
P00008,P00013,22
P00009,P00011,22
P00003,P00009,22
P00003,P00010,22
P00006,P00008,22
P00002,P00012,22
P00065,P00067,22
P00003,P00013,22
P00122,P00133,21
P00001,P00006,21
P00005,P00015,21
P00012,P00013,21
P00001,P00002,21
P00003,P00012,21
P00003,P00015,21
P00001,P00013,21
P00005,P00008,21
P00154,P00160,21
P00006,P00014,21
P00006,P00013,20
P00003,P00005,20
P00063,P00075,20
P00002,P00005,20
P00063,P00070,20
P00070,P00071,20
P00063,P00065,20
P00004,P00013,20
P00069,P00074,20
P00004,P00006,20
P00001,P00011,20
P00008,P00009,20
P00014,P00015,20
P00001,P00008,20
P00114,P00120,20
P00002,P00003,20
P00076,P00086,20
P00005,P00006,20
P00002,P00008,19
P00063,P00074,19
P00003,P00014,19
P00010,P00012,19
P00106,P00111,19
P00002,P00007,19
P00003,P00004,19
P00115,P00119,19
P00004,P00007,19
P00007,P00012,19
P00106,P00114,19
P00106,P00118,19
P00004,P00014,19
P00002,P00010,19
P00013,P00015,19
P00128,P00131,19
P00156,P00165,19
P00077,P00078,19
P00070,P00074,19
P00078,P00079,19
P00071,P00075,19
P00002,P00014,19
P00129,P00131,19
P00065,P00075,19
P00111,P00118,19
P00009,P00015,19
P00106,P00120,18
P00065,P00074,18
P00157,P00165,18
P00064,P00065,18
P00071,P00073,18
P00076,P00078,18
P00087,P00088,18
P00111,P00119,18
P00004,P00012,18
P00140,P00145,18
P00009,P00014,18
P00005,P00007,18
P00007,P00015,18
P00122,P00131,18
P00076,P00079,18
P00005,P00013,18
P00076,P00084,18
P00152,P00162,18
P00008,P00010,18
P00138,P00146,18
P00140,P00147,18
P00107,P00110,18
P00121,P00123,18
P00157,P00160,18
P00078,P00090,18
P00155,P00161,17
P00156,P00160,17
P00114,P00117,17
P00126,P00131,17
P00067,P00071,17
P00117,P00120,17
P00010,P00011,17
P00001,P00010,17
P00007,P00011,17
P00009,P00010,17
P00137,P00147,17
P00081,P00090,17
P00063,P00069,17
P00061,P00063,17
P00064,P00071,17
P00111,P00116,17
P00113,P00120,17
P00109,P00111,17
P00106,P00108,17
P00004,P00009,17
P00063,P00068,17
P00061,P00070,17
P00152,P00156,17
P00069,P00070,17
P00011,P00012,17
P00003,P00008,17
P00071,P00072,17
P00010,P00015,17
P00002,P00009,17
P00077,P00086,17
P00013,P00014,17
P00109,P00115,17
P00012,P00015,17
P00010,P00013,17
P00085,P00087,17
P00107,P00111,17
P00007,P00014,17
P00001,P00007,17
P00067,P00070,17
P00062,P00064,16
P00157,P00161,16
P00141,P00150,16
P00136,P00147,16
P00086,P00087,16
P00067,P00075,16
P00106,P00115,16
P00076,P00090,16
P00106,P00107,16
P00003,P00006,16
P00136,P00149,16
P00138,P00141,16
P00007,P00013,16
P00160,P00162,16
P00004,P00011,16
P00134,P00135,16
P00110,P00115,16
P00065,P00068,16
P00002,P00004,16
P00070,P00073,16
P00084,P00086,16
P00006,P00007,16
P00078,P00084,16
P00122,P00123,16
P00079,P00086,16
P00128,P00133,16
P00118,P00120,16
P00101,P00104,16
P00069,P00072,16
P00106,P00117,16
P00142,P00150,16
P00085,P00086,16
P00112,P00116,16
P00078,P00087,16
P00145,P00149,16
P00117,P00118,16
P00005,P00012,16
P00069,P00071,16
P00078,P00083,16
P00080,P00088,16
P00063,P00064,16
P00061,P00064,16
P00080,P00085,16
P00113,P00116,16
P00080,P00090,16
P00081,P00086,16
P00065,P00066,16
P00109,P00117,16
P00111,P00120,16
P00145,P00147,16
P00061,P00068,16
P00144,P00146,15
P00064,P00069,15
P00073,P00075,15
P00159,P00164,15
P00106,P00110,15
P00140,P00148,15
P00076,P00083,15
P00153,P00155,15
P00097,P00101,15
P00083,P00086,15
P00068,P00071,15
P00061,P00066,15
P00005,P00014,15
P00069,P00075,15
P00154,P00157,15
P00111,P00113,15
P00001,P00005,15
P00062,P00065,15
P00156,P00162,15
P00111,P00114,15
P00076,P00077,15
P00088,P00090,15
P00077,P00085,15
P00063,P00072,15
P00061,P00069,15
P00123,P00131,15
P00077,P00079,15
P00088,P00089,15
P00006,P00010,15
P00083,P00089,15
P00079,P00081,15
P00068,P00075,15
P00143,P00150,15
P00011,P00015,15
P00153,P00157,15
P00136,P00150,15
P00067,P00068,15
P00100,P00103,15
P00077,P00090,15
P00011,P00013,15
P00107,P00115,15
P00078,P00081,15
P00001,P00009,15
P00106,P00116,15
P00159,P00160,15
P00157,P00163,15
P00080,P00086,15
P00119,P00120,14
P00107,P00112,14
P00067,P00074,14
P00079,P00090,14
P00065,P00069,14
P00122,P00129,14
P00138,P00150,14
P00113,P00118,14
P00106,P00119,14
P00157,P00164,14
P00100,P00105,14
P00140,P00141,14
P00140,P00150,14
P00107,P00113,14
P00101,P00102,14
P00072,P00074,14
P00005,P00010,14
P00141,P00144,14
P00006,P00012,14
P00041,P00044,14
P00112,P00120,14
P00138,P00142,14
P00009,P00012,14
P00123,P00130,14
P00163,P00165,14
P00125,P00130,14
P00131,P00135,14
P00062,P00071,14
P00147,P00148,14
P00115,P00116,14
P00068,P00070,14
P00112,P00119,14
P00079,P00089,14
P00080,P00081,14
P00154,P00162,14
P00143,P00147,14
P00004,P00010,14
P00010,P00014,14
P00110,P00113,14
P00157,P00162,14
P00109,P00120,14
P00113,P00117,14
P00067,P00073,14
P00061,P00073,14
P00077,P00089,14
P00109,P00112,14
P00149,P00150,14
P00141,P00142,14
P00137,P00150,14
P00147,P00150,14
P00078,P00089,14
P00124,P00127,14
P00066,P00070,14
P00082,P00083,14
P00140,P00142,14
P00121,P00135,14
P00155,P00160,14
P00121,P00130,14
P00086,P00090,13
P00116,P00120,13
P00061,P00065,13
P00112,P00114,13
P00003,P00007,13
P00101,P00103,13
P00145,P00148,13
P00140,P00146,13
P00155,P00156,13
P00153,P00156,13
P00064,P00073,13
P00095,P00104,13
P00085,P00090,13
P00061,P00067,13
P00076,P00085,13
P00155,P00162,13
P00136,P00138,13
P00122,P00135,13
P00068,P00073,13
P00155,P00163,13
P00160,P00161,13
P00158,P00160,13
P00156,P00161,13
P00079,P00080,13
P00110,P00111,13
P00064,P00067,13
P00067,P00072,13
P00072,P00075,13
P00093,P00101,13
P00126,P00128,13
P00031,P00041,13
P00152,P00159,13
P00084,P00089,13
P00144,P00148,13
P00100,P00101,13
P00152,P00153,13
P00151,P00153,13
P00077,P00080,13
P00098,P00101,13
P00076,P00081,13
P00142,P00143,13
P00077,P00081,13
P00081,P00084,13
P00061,P00072,13
P00092,P00103,13
P00115,P00117,13
P00114,P00119,13
P00161,P00165,13
P00011,P00014,13
P00141,P00148,13
P00125,P00126,13
P00082,P00088,13
P00006,P00011,13
P00108,P00109,13
P00110,P00114,13
P00153,P00165,13
P00130,P00134,13
P00113,P00114,13
P00084,P00085,13
P00152,P00160,13
P00142,P00149,13
P00129,P00134,13
P00152,P00164,13
P00116,P00117,13
P00110,P00112,13
P00065,P00072,13
P00136,P00148,13
P00144,P00150,13
P00112,P00113,13
P00113,P00115,13
P00156,P00159,13
P00094,P00105,13
P00142,P00147,13
P00085,P00089,13
P00115,P00120,13
P00078,P00086,13
P00136,P00145,13
P00154,P00155,13
P00121,P00129,13
P00083,P00085,12
P00073,P00074,12
P00123,P00125,12
P00121,P00132,12
P00123,P00135,12
P00107,P00120,12
P00152,P00161,12
P00110,P00119,12
P00138,P00148,12
P00126,P00134,12
P00144,P00147,12
P00155,P00157,12
P00092,P00101,12
P00153,P00160,12
P00141,P00149,12
P00076,P00080,12
P00137,P00144,12
P00076,P00082,12
P00136,P00140,12
P00098,P00100,12
P00078,P00085,12
P00091,P00095,12
P00123,P00128,12
P00095,P00101,12
P00152,P00165,12
P00109,P00116,12
P00109,P00113,12
P00118,P00119,12
P00079,P00084,12
P00154,P00161,12
P00079,P00088,12
P00064,P00070,12
P00077,P00084,12
P00101,P00105,12
P00112,P00118,12
P00107,P00118,12
P00108,P00115,12
P00084,P00087,12
P00094,P00098,12
P00093,P00095,12
P00126,P00135,12
P00111,P00117,12
P00061,P00074,12
P00139,P00147,12
P00093,P00103,12
P00160,P00165,12
P00007,P00009,12
P00121,P00127,12
P00036,P00045,12
P00084,P00088,12
P00083,P00084,12
P00123,P00127,12
P00062,P00070,12
P00079,P00083,12
P00092,P00093,12
P00086,P00089,12
P00091,P00101,12
P00080,P00083,12
P00125,P00134,12
P00121,P00122,12
P00066,P00071,12
P00121,P00134,12
P00115,P00118,12
P00103,P00104,12
P00146,P00148,12
P00091,P00103,12
P00146,P00147,12
P00129,P00132,12
P00064,P00068,12
P00146,P00149,12
P00161,P00164,12
P00062,P00068,12
P00096,P00101,12
P00131,P00133,11
P00158,P00162,11
P00137,P00148,11
P00108,P00110,11
P00114,P00116,11
P00129,P00130,11
P00077,P00082,11
P00080,P00087,11
P00077,P00087,11
P00128,P00129,11
P00076,P00088,11
P00068,P00069,11
P00031,P00036,11
P00111,P00112,11
P00070,P00075,11
P00079,P00082,11
P00126,P00129,11
P00035,P00040,11
P00039,P00041,11
P00064,P00066,11
P00052,P00057,11
P00147,P00149,11
P00108,P00120,11
P00139,P00141,11
P00122,P00126,11
P00139,P00142,11
P00062,P00066,11
P00108,P00116,11
P00110,P00120,11
P00007,P00010,11
P00107,P00119,11
P00122,P00132,11
P00148,P00149,11
P00080,P00089,11
P00098,P00103,11
P00065,P00073,11
P00136,P00146,11
P00161,P00163,11
P00079,P00085,11
P00094,P00103,11
P00008,P00014,11
P00106,P00112,11
P00148,P00150,11
P00140,P00144,11
P00137,P00140,11
P00158,P00161,11
P00156,P00158,11
P00097,P00103,11
P00079,P00087,11
P00102,P00103,11
P00110,P00118,11
P00072,P00073,11
P00127,P00129,11
P00155,P00159,11
P00108,P00119,11
P00154,P00159,11
P00127,P00130,11
P00107,P00116,11
P00108,P00114,11
P00001,P00004,11
P00138,P00144,11
P00063,P00067,11
P00138,P00139,11
P00122,P00130,11
P00153,P00161,11
P00087,P00090,11
P00127,P00128,11
P00066,P00068,11
P00114,P00118,11
P00107,P00114,11
P00140,P00143,11
P00091,P00100,11
P00145,P00150,11
P00086,P00088,11
P00095,P00102,11
P00108,P00111,11
P00062,P00073,11
P00062,P00072,11
P00064,P00074,11
P00001,P00003,11
P00100,P00104,11
P00057,P00060,10
P00096,P00105,10
P00062,P00075,10
