sessionId,deviceType
SESS0000001,모바일
SESS0000002,모바일
SESS0000003,모바일
SESS0000004,모바일
SESS0000005,모바일
SESS0000006,모바일
SESS0000007,모바일
SESS0000008,모바일
SESS0000009,모바일
SESS0000010,모바일
SESS0000011,모바일
SESS0000012,모바일
SESS0000013,모바일
SESS0000014,모바일
SESS0000015,모바일
SESS0000016,PC
SESS0000017,모바일
SESS0000018,모바일
SESS0000019,모바일
SESS0000020,모바일
SESS0000021,모바일
SESS0000022,모바일
SESS0000023,모바일
SESS0000024,모바일
SESS0000025,모바일
SESS0000026,모바일
SESS0000027,모바일
SESS0000028,모바일
SESS0000029,모바일
SESS0000030,PC
SESS0000031,PC
SESS0000032,PC
SESS0000033,모바일
SESS0000034,태블릿
SESS0000035,모바일
SESS0000036,모바일
SESS0000037,모바일
SESS0000038,모바일
SESS0000039,모바일
SESS0000040,모바일
SESS0000041,모바일
SESS0000042,모바일
SESS0000043,PC
SESS0000044,PC
SESS0000045,모바일
SESS0000046,모바일
SESS0000047,모바일
SESS0000048,PC
SESS0000049,PC
SESS0000050,모바일
SESS0000051,모바일
SESS0000052,모바일
SESS0000053,모바일
SESS0000054,모바일
SESS0000055,모바일
SESS0000056,모바일
SESS0000057,모바일
SESS0000058,모바일
SESS0000059,모바일
SESS0000060,모바일
SESS0000061,모바일
SESS0000062,모바일
SESS0000063,모바일
SESS0000064,모바일
SESS0000065,모바일
SESS0000066,모바일
SESS0000067,모바일
SESS0000068,모바일
SESS0000069,모바일
SESS0000070,모바일
SESS0000071,모바일
SESS0000072,모바일
SESS0000073,모바일
SESS0000074,모바일
SESS0000075,모바일
SESS0000076,모바일
SESS0000077,모바일
SESS0000078,모바일
SESS0000079,모바일
SESS0000080,모바일
SESS0000081,모바일
SESS0000082,모바일
SESS0000083,모바일
SESS0000084,모바일
SESS0000085,모바일
SESS0000086,모바일
SESS0000087,모바일
SESS0000088,모바일
SESS0000089,모바일
SESS0000090,모바일
SESS0000091,모바일
SESS0000092,모바일
SESS0000093,PC
SESS0000094,모바일
SESS0000095,모바일
SESS0000096,모바일
SESS0000097,모바일
SESS0000098,모바일
SESS0000099,모바일
SESS0000100,모바일
SESS0000101,모바일
SESS0000102,모바일
SESS0000103,모바일
SESS0000104,태블릿
SESS0000105,태블릿
SESS0000106,태블릿
SESS0000107,태블릿
SESS0000108,태블릿
SESS0000109,태블릿
SESS0000110,모바일
SESS0000111,모바일
SESS0000112,모바일
SESS0000113,모바일
SESS0000114,모바일
SESS0000115,모바일
SESS0000116,모바일
SESS0000117,모바일
SESS0000118,모바일
SESS0000119,모바일
SESS0000120,모바일
SESS0000121,모바일
SESS0000122,모바일
SESS0000123,모바일
SESS0000124,모바일
SESS0000125,모바일
SESS0000126,모바일
SESS0000127,모바일
SESS0000128,모바일
SESS0000129,모바일
SESS0000130,모바일
SESS0000131,모바일
SESS0000132,모바일
SESS0000133,모바일
SESS0000134,모바일
SESS0000135,모바일
SESS0000136,모바일
SESS0000137,모바일
SESS0000138,모바일
SESS0000139,모바일
SESS0000140,모바일
SESS0000141,모바일
SESS0000142,모바일
SESS0000143,PC
SESS0000144,PC
SESS0000145,모바일
SESS0000146,모바일
SESS0000147,모바일
SESS0000148,모바일
SESS0000149,모바일
SESS0000150,모바일
SESS0000151,태블릿
SESS0000152,태블릿
SESS0000153,모바일
SESS0000154,모바일
SESS0000155,모바일
SESS0000156,모바일
SESS0000157,모바일
SESS0000158,모바일
SESS0000159,모바일
SESS0000160,모바일
SESS0000161,모바일
SESS0000162,모바일
SESS0000163,모바일
SESS0000164,모바일
SESS0000165,모바일
SESS0000166,모바일
SESS0000167,태블릿
SESS0000168,태블릿
SESS0000169,모바일
SESS0000170,모바일
SESS0000171,모바일
SESS0000172,모바일
SESS0000173,태블릿
SESS0000174,PC
SESS0000175,PC
SESS0000176,PC
SESS0000177,PC
SESS0000178,PC
SESS0000179,PC
SESS0000180,PC
SESS0000181,PC
SESS0000182,PC
SESS0000183,PC
SESS0000184,모바일
SESS0000185,모바일
SESS0000186,모바일
SESS0000187,모바일
SESS0000188,PC
SESS0000189,모바일
SESS0000190,모바일
SESS0000191,모바일
SESS0000192,모바일
SESS0000193,모바일
SESS0000194,모바일
SESS0000195,모바일
SESS0000196,PC
SESS0000197,PC
SESS0000198,모바일
SESS0000199,모바일
SESS0000200,모바일
SESS0000201,모바일
SESS0000202,모바일
SESS0000203,모바일
SESS0000204,모바일
SESS0000205,모바일
SESS0000206,모바일
SESS0000207,모바일
SESS0000208,모바일
SESS0000209,모바일
SESS0000210,모바일
SESS0000211,모바일
SESS0000212,모바일
SESS0000213,모바일
SESS0000214,모바일
SESS0000215,모바일
SESS0000216,모바일
SESS0000217,모바일
SESS0000218,모바일
SESS0000219,태블릿
SESS0000220,태블릿
SESS0000221,태블릿
SESS0000222,태블릿
SESS0000223,태블릿
SESS0000224,태블릿
SESS0000225,태블릿
SESS0000226,태블릿
SESS0000227,태블릿
SESS0000228,태블릿
SESS0000229,태블릿
SESS0000230,태블릿
SESS0000231,태블릿
SESS0000232,모바일
SESS0000233,모바일
SESS0000234,모바일
SESS0000235,모바일
SESS0000236,모바일
SESS0000237,모바일
SESS0000238,모바일
SESS0000239,모바일
SESS0000240,모바일
SESS0000241,모바일
SESS0000242,PC
SESS0000243,모바일
SESS0000244,모바일
SESS0000245,태블릿
SESS0000246,태블릿
SESS0000247,태블릿
SESS0000248,태블릿
SESS0000249,모바일
SESS0000250,모바일
SESS0000251,모바일
SESS0000252,모바일
SESS0000253,모바일
SESS0000254,모바일
SESS0000255,모바일
SESS0000256,모바일
SESS0000257,모바일
SESS0000258,모바일
SESS0000259,모바일
SESS0000260,모바일
SESS0000261,모바일
SESS0000262,모바일
SESS0000263,모바일
SESS0000264,모바일
SESS0000265,모바일
SESS0000266,모바일
SESS0000267,모바일
SESS0000268,모바일
SESS0000269,모바일
SESS0000270,모바일
SESS0000271,모바일
SESS0000272,모바일
SESS0000273,PC
SESS0000274,PC
SESS0000275,모바일
SESS0000276,모바일
SESS0000277,모바일
SESS0000278,모바일
SESS0000279,모바일
SESS0000280,모바일
SESS0000281,모바일
SESS0000282,모바일
SESS0000283,모바일
SESS0000284,PC
SESS0000285,모바일
SESS0000286,모바일
SESS0000287,모바일
SESS0000288,모바일
SESS0000289,모바일
SESS0000290,모바일
SESS0000291,모바일
SESS0000292,모바일
SESS0000293,모바일
SESS0000294,모바일
SESS0000295,모바일
SESS0000296,모바일
SESS0000297,모바일
SESS0000298,모바일
SESS0000299,모바일
SESS0000300,PC
SESS0000301,PC
SESS0000302,태블릿
SESS0000303,모바일
SESS0000304,PC
SESS0000305,PC
SESS0000306,PC
SESS0000307,PC
SESS0000308,모바일
SESS0000309,모바일
SESS0000310,모바일
SESS0000311,모바일
SESS0000312,모바일
SESS0000313,모바일
SESS0000314,모바일
SESS0000315,PC
SESS0000316,PC
SESS0000317,PC
SESS0000318,PC
SESS0000319,PC
SESS0000320,PC
SESS0000321,PC
SESS0000322,PC
SESS0000323,PC
SESS0000324,모바일
SESS0000325,모바일
SESS0000326,모바일
SESS0000327,모바일
SESS0000328,모바일
SESS0000329,모바일
SESS0000330,모바일
SESS0000331,모바일
SESS0000332,모바일
SESS0000333,모바일
SESS0000334,모바일
SESS0000335,모바일
SESS0000336,PC
SESS0000337,PC
SESS0000338,PC
SESS0000339,모바일
SESS0000340,모바일
SESS0000341,모바일
SESS0000342,모바일
SESS0000343,모바일
SESS0000344,모바일
